,lnR,lnR_2
2016-08-22,-0.016999649994741795,0.0002889880999437247
2016-08-23,0.0031140905402473607,9.697559892858098e-06
2016-08-24,0.0082495377760754,6.805487351889504e-05
2016-08-25,-0.005264337548732456,2.7713249826994446e-05
2016-08-26,0.004159798786712798,1.7303925945937268e-05
2016-08-29,0.001574282486695111,2.4783653479149426e-06
2016-08-30,0.001061810691891374,1.1274419454148382e-06
2016-08-31,-0.0017186011993368666,2.9535900823621165e-06
2016-09-01,-0.004770091526501652,2.275377317120286e-05
2016-09-02,-0.0048113801087836805,2.3149378551199262e-05
2016-09-05,0.005434658665723013,2.9535514812918245e-05
2016-09-06,0.018227596512183197,0.00033224527461095306
2016-09-07,-0.004865970200008896,2.367766598737461e-05
2016-09-08,0.005149351252708989,2.6515818323775634e-05
2016-09-09,-0.00926258870206631,8.579554946364644e-05
2016-09-12,-0.026405859365945084,0.0006972694088540697
2016-09-13,0.00014447398677752687,2.0872732855393012e-08
2016-09-14,-0.0006106614212137984,3.729073713588561e-07
2016-09-19,0.009582951307828935,9.18329557682203e-05
2016-09-20,-0.0031362488816704115,9.836057047778907e-06
2016-09-21,0.0017127413596806917,2.9334829651608646e-06
2016-09-22,0.0029049448330065175,8.438704482811264e-06
2016-09-23,-0.0055076175135004846,3.033385067501726e-05
2016-09-26,-0.01570809578270982,0.000246744273118786
2016-09-27,0.008396512495952635,7.050142209468875e-05
2016-09-28,-0.0005466740627166899,2.9885253084717146e-07
2016-09-29,0.003056600782402441,9.342808342983215e-06
2016-09-30,0.001731811758507007,2.9991719669031317e-06
2016-10-10,0.026878638651755438,0.0007224612157716414
2016-10-11,0.001081612023996037,1.1698845704528036e-06
2016-10-12,-0.0005338714401528222,2.850187146108484e-07
2016-10-13,-0.0005024613923403365,2.5246745079258953e-07
2016-10-14,-0.00651405955635731,4.243297190377e-05
2016-10-17,-0.012090681870319031,0.0001461845880892613
2016-10-18,0.013871042374004716,0.0001924058165414344
2016-10-19,-0.006036910452676736,3.6444287813637634e-05
2016-10-20,0.003814383691834955,1.454952294853646e-05
2016-10-21,-0.00560553424021748,3.142201411825056e-05
2016-10-24,0.00903744340873569,8.167538336610017e-05
2016-10-25,-0.0002681202739980293,7.18884813287783e-08
2016-10-26,-0.00717041866192325,5.141490378725721e-05
2016-10-27,-0.0009205468056521227,8.474064213963269e-07
2016-10-28,-0.007842888834707296,6.151090527357636e-05
2016-10-31,-0.002621851640281392,6.874106023646225e-06
2016-11-01,0.007698004672142211,5.925927593232331e-05
2016-11-02,-0.013903088954530851,0.00019329588247759776
2016-11-03,0.003153799031413662,9.946448330545754e-06
2016-11-04,-0.003699046421792751,1.3682944430577755e-05
2016-11-07,-0.006983957864877155,4.8775667458379466e-05
2016-11-08,0.00934455241518517,8.7320659840143e-05
2016-11-09,-0.012381596313782772,0.00015330392727747915
2016-11-10,0.009130257746832626,8.336160652359718e-05
2016-11-11,0.001766723142348603,3.121310661710122e-06
2016-11-14,0.006767571317760179,4.580002154097025e-05
2016-11-15,0.008113401137263665,6.582727801415134e-05
2016-11-16,0.0014535386130516414,2.1127744996320893e-06
2016-11-17,-0.008942623298722197,7.997051146284906e-05
2016-11-18,-0.0023513086509892034,5.528652372216667e-06
2016-11-21,-0.0024869171349077845,6.184756835897944e-06
2016-11-22,0.011569899861448185,0.00013386258280393874
2016-11-23,-0.005498061444375146,3.022867964612452e-05
2016-11-24,-0.008849081708200757,7.830624707841322e-05
2016-11-25,0.009689099850293204,9.387865590895178e-05
2016-11-28,-0.0006830380690052706,4.6654100371044886e-07
2016-11-29,-0.0026396156219856692,6.967570631830792e-06
2016-11-30,0.010457364849465023,0.00010935647959482662
2016-12-01,-0.0005131753293614594,2.633489186652423e-07
2016-12-02,-0.017793125787940234,0.00031659532530546375
2016-12-05,0.0002005910445159742,4.0236767140009543e-08
2016-12-06,-0.010135712887866077,0.0001027326757452545
2016-12-07,0.0059804042238207344,3.576523468029288e-05
