,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-06-19,-0.06759738786989722,0.004569406846833327,0.0010179272294327647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-20,0.029698577863579878,0.0008820055271191167,0.0015932148448466914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-23,-0.025508195874108353,0.0006506680567518783,0.0009621867905588818,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-24,0.015315295338241164,0.00023455827129755154,0.0004812710651258528,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-25,0.0357411589580332,0.001277430443663397,0.00039564916030307044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-26,-0.0010897449339664078,1.1875440211054505e-06,0.00044159303236787807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-27,-0.054317897390575354,0.0029504339769330728,0.0012056021899788099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-30,-0.004495921994294605,2.0213314578781977e-05,0.0005476885207067778,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-01,-0.03136952821326755,0.0009840473003229887,0.00036985626035844667,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-02,4.525458533422011e-05,2.04797749377221e-09,0.0004291008724008546,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-03,0.0193475849953737,0.0003743290451532096,0.0013861957447077187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-04,-0.01251993446211852,0.00015674875893574296,0.00039306225761999983,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-07,0.044862344613026295,0.0020126299641779295,0.0004643690186051157,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-08,0.008043066936824772,6.469092575024382e-05,0.0005419004082413537,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-09,0.036827151396093605,0.0013562390799507992,0.0003731608095622684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
