,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-08-12,0.002767962312265837,7.66161536212404e-06,0.0006181139990858692,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-13,0.006914208585985904,4.780628037052119e-05,0.0007150119808178707,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-14,0.003510710548061624,1.2325088552271149e-05,0.00044772405222994204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-15,-0.00548024958933091,3.0033135561361607e-05,0.0002484111963692139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-18,-0.049842949373735124,0.0024843196022727226,0.0004268792399355351,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-19,0.016520195942661076,0.00027291687398391546,0.0005063584625403755,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-20,0.06884666171139564,0.004739862828803351,0.0010757508431242131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-21,-0.034356058711191295,0.0011803387701668233,0.0007048312921826644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-22,-0.017296917489902697,0.0002991833546525018,0.0005735786312033432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-25,-0.004481446627787378,2.008336387770686e-05,0.00036228924948063056,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-26,-0.022327265056881984,0.0004985067649202633,0.000655101341244223,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-27,-0.007662117887337061,5.870805051945055e-05,0.0005696335611894179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-28,-0.0012926184043404731,1.670862339239711e-06,0.0002461835749691617,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-29,0.023664271704584294,0.0005599977553083889,0.00032291831755276197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-09-01,-0.040670945441330986,0.0016541258030917216,0.00035911728203807383,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2008-09-02,-0.014004534030938487,0.0001961269734237142,0.00031745703327789107,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2008-09-03,-0.021987014636300373,0.0004834288126168868,0.0004162479685984552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008-09-04,0.008066868642377045,6.507436969336607e-05,0.0002241238043531014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2008-09-05,-0.028418376911506726,0.0008076041462844586,0.0007375615779363276,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2008-09-08,-0.036477055315543794,0.0013305755644932417,0.00032585892508146883,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2008-09-09,0.0025922981952337665,6.7200099330122426e-06,0.00032938824138526547,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2008-09-10,0.006145689863938486,3.776950390371625e-05,0.0004714821170160348,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008-09-11,-0.02714567702910564,0.0007368877813685137,0.0002916437843935309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
