,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2010-11-25,-0.018450436700656603,0.0003404186144449361,0.00019174781033656896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010-11-26,0.008110431688687747,6.577910217687038e-05,0.00019223320091881648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010-11-29,0.01994247692518858,0.0003977023859116789,0.0001467583216943613,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2010-11-30,-0.03215281544910109,0.0010338035413039537,0.0008623217880131615,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2010-12-01,-0.003670702847454521,1.347405939431073e-05,0.00015563897937523926,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-12-02,0.0005647522565039864,3.1894511122634444e-07,0.00015601656453782272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-03,-0.017040551841057017,0.0002903804070477517,0.00015113498399893976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2010-12-06,-0.020552809946150497,0.0004224179966825828,0.00012642705996903557,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2010-12-07,0.02378867226627257,0.0005659009281921257,0.00018451597300946394,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-12-08,-0.0012515446752381365,1.5663640741169325e-06,0.0001137097144794901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-12-09,-0.01363107227139615,0.000185806131268025,0.00016269220612518488,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-10,0.01927086994852445,0.00037136642857294274,0.000139134694908726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2010-12-13,0.03575188265022877,0.001278197113035729,0.0002178164630208798,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2010-12-14,0.007619308865528751,5.805386758832502e-05,8.301762487115129e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-12-15,-0.005526849173693726,3.054606178875903e-05,8.457730423282323e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-12-16,0.010855175094703462,0.00011783482633667031,0.00011429500127093648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-17,0.006470292042762615,4.186467911863722e-05,7.999511281346775e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2010-12-20,-0.016885723732615432,0.000285127665974212,0.0005364156957847781,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2010-12-21,0.0022122818215803974,4.894190858095081e-06,0.00010791893327462893,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-12-22,-0.01106906784770434,0.00012252426301708196,8.655883642823536e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-12-23,-0.02126479038341511,0.0004521913100505838,0.00012142473998736377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-24,-0.02745871749640383,0.0007539811665473137,0.00026792209398833776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2010-12-27,-0.034856435495706606,0.0012149710954663553,0.0002993344345698068,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2010-12-28,-0.012575850411595368,0.0001581520135748234,0.00028714807456871864,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-12-29,0.019800238027402273,0.00039204942594178705,0.0001441398386173577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010-12-30,0.0035005263216456584,1.2253684528534084e-05,0.00011731938402621665,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2010-12-31,0.018137192946276137,0.00032895776797044885,5.7840077610821085e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2011-01-04,0.01521683536950924,0.00023155207866274743,5.388229821623506e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2011-01-05,0.0002103481789479389,4.424635638671412e-08,8.6327670218561e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-06,-0.017953088606100565,0.0003223133904984979,8.70553699358003e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-07,-0.0073188024612358404,5.356486946659179e-05,0.00010768772047097478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-10,-0.029504698884724512,0.0008705272562782639,0.00013100843720485379,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-01-11,-0.014179867721760608,0.0002010686486066284,0.00017697663330719937,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-12,0.010431646072449396,0.00010881923978084892,0.00020168589080335074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-13,0.0038314170474649245,1.467975659160484e-05,7.437169633909465e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-14,-0.024466420097585484,0.0005986057123915349,0.00014548357782935168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-17,-0.037470878625779136,0.0014040667449878718,0.00022996469517634974,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-01-18,-0.002380864243535008,5.668514546143526e-06,0.00019027991682524033,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-19,0.02200304651059337,0.00048413405574733513,8.441406699631886e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-20,-0.02721002468203615,0.0007403854431970164,0.00019013325144519652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-21,0.004025641973213645,1.620579329649945e-05,0.00022138832875346907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-24,-0.029255277317075112,0.0008558712508989696,0.0002432995326114259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-01-25,-0.016179971151943917,0.0002617914664777374,0.0002437745509817627,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-26,0.016960596807257033,0.0002876618440583375,0.00010352103714334154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-27,0.017204999537219656,0.00029601200907572857,0.00018872065919524824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-28,0.007781895569232589,6.05578986504418e-05,6.117276653333356e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-31,0.007982255569278784,6.371640397328216e-05,3.947574419927927e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-02-01,0.003379699044384843,1.1422365630615821e-05,2.627707306426768e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-09,-0.00724287289371528,5.245920775451555e-05,0.0001415810169727008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
2011-02-10,0.03714374347280813,0.0013796576791737767,0.00010039728487103554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-11,0.007151423482977037,5.114285783287542e-05,5.810667785767191e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-02-14,0.013878840475363141,0.0001926222129405782,4.8575179214082324e-05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-02-15,0.0010734574221133997,1.1523108370903456e-06,6.617974611625799e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-16,0.017782073264040577,0.0003162021295677067,7.619419488600642e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-02-17,0.0072834792286480265,5.304906967414725e-05,0.00010031829756398823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-18,-0.013424728705626165,0.00018022334081966318,0.00011028925493854087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-02-21,0.015518767731355076,0.0002408321518997476,7.686374340377905e-05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2011-02-22,-0.02666234680449442,0.0007108807371231338,0.00023116760286175377,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-23,0.02341821520501597,0.0005484128033884411,0.00018290384074462834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-02-24,-0.01091975895779651,0.00011924113569637713,0.0001129316403396397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-25,-0.00624020311275153,3.894013488839389e-05,0.00010308350805674414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
