,id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,total_operating_revenue,operating_revenue,total_operating_cost,operating_cost,operating_tax_surcharges,sale_expense,administration_expense,exploration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,other_items_influenced_income,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,other_items_influenced_profit,total_profit,income_tax,other_items_influenced_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,interest_income,premiums_earned,commission_income,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,non_current_asset_disposed,other_earnings
0,57017,300016930,林州重机集团股份有限公司,002535.XSHE,002535,,,2018-04-03,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1651884332.25,1651884332.25,1654741285.32,1347653688.32,22039936.5,43772642.43,121834839.76,,104199060.85,15241117.46,,-16389489.64,,,,2436725.76,,25436247.92,4795859.84,,,23077113.84,-13065649.3,,36142763.14,35068075.68,1074687.46,,0.04,0.04,,36142763.14,35068075.68,1074687.46,,,,,,,,,,,,10446947.71
0,56889,300016928,杭州锅炉集团股份有限公司,002534.XSHE,002534,,,2018-03-27,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3501237946.09,3501237946.09,3113149852.99,2593604007.82,40980752.4,35739129.9,350062259.54,,35952116.92,56811586.41,,48108160.65,-3396454.87,,,487296445.29,,2149418.32,3166323.74,,,486279539.87,59133579.88,,427145959.99,417332805.96,9813154.03,,0.57,0.56,-1981012.59,425164947.4,415351793.37,9813154.03,,,,,,,,,,,,51293101.49
0,56539,300016750,金杯电工股份有限公司,002533.XSHE,002533,,,2018-03-30,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3961364315.34,3961364315.34,3816812657.25,3418644631.17,20892744.77,219083841.23,153636309.69,,-19554386.86,24109517.25,572350.0,119330.62,,,,154110439.89,,3996792.05,3145399.42,,,154961832.52,21180672.48,,133781160.04,124209997.49,9571162.55,,0.226,0.226,18627772.76,152408932.8,140800225.27,11608707.53,,,,,,,,,,,,8783285.68
0,56477,300016749,新界泵业集团股份有限公司,002532.XSHE,002532,,,2018-03-31,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1507066074.98,1507066074.98,1388657276.62,1080884504.29,16081260.01,131979546.68,144104867.68,,9624631.11,5982466.85,,44542850.56,576212.89,,,173858798.56,,3761443.8,22314104.24,,,155306138.12,21873924.61,,133432213.51,129709702.72,3722510.79,,0.25,0.25,2438482.38,135870695.89,132148185.1,3722510.79,,,,,,,,,,,,13482999.71
0,293108,300016748,天顺风能(苏州)股份有限公司,002531.XSHE,002531,,,2018-04-21,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3238346714.87,3169619034.25,2806942435.03,2301846482.17,16779838.44,143599384.45,152365450.78,,136654083.16,25652781.99,,73286675.48,,,,535670208.7,,1956285.05,2326155.11,,,535300338.64,58105093.89,,477195244.75,469511815.28,7683429.47,,0.26,0.26,4772343.3,481967588.05,474284158.58,7683429.47,61016971.35,,7710709.27,23274855.7,6769558.34,,,,,,,30836587.0
0,293538,300016747,金财互联控股股份有限公司,002530.XSHE,002530,,,2018-04-23,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,997742267.47,997742267.47,757475739.2,542497560.48,9477273.84,39487154.23,159550374.67,,-9836034.52,16299410.5,,18660881.23,9181119.27,,,267284968.9,,5856256.89,800332.54,,,272340893.25,31613729.46,,240727163.79,230474158.71,10253005.08,,0.47,0.47,,240727163.79,230474158.71,10253005.08,,,,,,,,,,,,10317209.41
0,295017,300006138,福建海源自动化机械股份有限公司,002529.XSHE,002529,,,2018-04-25,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,272244174.03,272244174.03,296254592.64,188704738.13,4045902.25,30195200.22,56415232.25,,8776693.57,8116826.22,,2251282.11,1661532.12,,,7458014.42,,184539.74,410007.7,,,7232546.46,224058.65,,7008487.81,7008487.81,,,0.027,0.027,,7008487.81,7008487.81,,,,,,,,,,,,,29226647.5
0,296713,300016568,深圳英飞拓科技股份有限公司,002528.XSHE,002528,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2905602991.2,2905602991.2,2871577442.32,2045726516.82,29399969.2,330649010.46,374595405.7,,12998604.99,78207935.15,,20963331.27,-6089837.51,,,65159962.32,,61659559.5,129631.57,,,126689890.25,-348580.46,,127038470.71,127251782.34,-213311.63,,0.1216,0.1216,-87683394.83,39355075.88,39851944.76,-496868.88,,,,,,,,,,,,10239389.06
0,293536,300016567,上海新时达电气股份有限公司,002527.XSHE,002527,,,2018-04-23,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3403612157.62,3403612157.62,3283555264.27,2607338797.06,16983952.21,218800252.07,350882579.94,,53164257.88,36385425.11,,8977028.39,8844809.21,,,200903975.55,,2084932.54,1354431.22,,,201634476.87,63951076.23,,137683400.64,137669481.09,13919.55,,0.22,0.22,-41651.63,137641749.01,137580925.95,60823.06,,,,,,,,,,,,71781937.52
0,290690,300016432,山东矿机集团股份有限公司,002526.XSHE,002526,,,2018-04-17,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1382049961.49,1382049961.49,1316026495.95,1086798791.73,17193628.21,79878365.68,79855921.77,,12127288.35,40172500.21,,18116952.55,,,,85481295.98,,21690210.64,3447262.33,,,103724244.29,22771628.32,,80952615.97,71335180.6,9617435.37,,0.1336,0.1336,,80952615.97,71335180.6,9617435.37,,,,,,,,,,,,1160000.0
