,open,close,high,low,volume,money
2008-12-08,7363.65,7528.63,7563.46,7347.99,1320794200.0,13145221760.0
2008-12-09,7565.55,7360.99,7585.16,7344.68,1131769000.0,11697327064.0
2008-12-10,7311.12,7490.29,7498.23,7228.35,978544500.0,9888181273.0
2008-12-11,7467.45,7361.49,7577.12,7354.44,895717000.0,9334900192.0
2008-12-12,7304.58,7092.71,7338.07,6988.8,852190900.0,8613020057.0
2008-12-15,7184.16,7101.42,7229.8,6968.6,696385100.0,7100309977.0
2008-12-16,7052.77,7250.32,7250.32,6955.19,678717100.0,6732120743.0
2008-12-17,7265.41,7286.87,7378.1,7253.24,792193100.0,7971824412.0
2008-12-18,7291.69,7412.47,7416.46,7215.38,901999900.0,8727772306.0
2008-12-19,7391.32,7438.83,7507.7,7361.05,771335100.0,8226826165.0
2008-12-22,7429.46,7295.12,7465.49,7204.84,760009800.0,7683908136.0
2008-12-23,7310.19,6952.91,7310.19,6950.28,890968200.0,8771931839.0
2008-12-24,6871.29,6845.6,6932.05,6794.28,568185400.0,5453146380.0
2008-12-25,6871.09,6785.04,6919.22,6704.81,463660400.0,4812295020.0
2008-12-26,6741.24,6704.25,6776.3,6654.59,602868000.0,6998011820.0
2008-12-29,6641.78,6653.2,6682.72,6483.54,491130800.0,5283561169.0
2008-12-30,6629.89,6558.16,6652.51,6498.31,506028800.0,5121560106.0
2008-12-31,6546.07,6485.51,6561.48,6460.7,727783300.0,5968893207.0
2009-01-05,6557.42,6634.88,6634.88,6514.49,718070400.0,6797689893.0
2009-01-06,6631.18,6795.34,6820.08,6600.27,1106467600.0,11040095960.0
2009-01-07,6769.6,6725.82,6836.11,6725.21,831879900.0,8876334993.0
2009-01-08,6600.04,6616.98,6656.18,6546.77,775625200.0,11390628831.0
2009-01-09,6621.22,6719.88,6736.34,6620.38,722604800.0,8915968016.0
2009-01-12,6690.96,6719.91,6798.97,6665.9,798259000.0,8623779248.0
2009-01-13,6603.49,6530.81,6664.51,6529.06,873270900.0,9009299157.0
2009-01-14,6518.85,6811.87,6811.87,6518.85,949430700.0,10140803538.0
2009-01-15,6739.63,6798.53,6889.04,6720.56,1035184600.0,11375749440.0
2009-01-16,6832.24,6917.48,7038.94,6832.24,1274393800.0,13570061720.0
2009-01-19,6972.58,6982.59,7103.83,6912.1,1090151100.0,12061978964.0
2009-01-20,6963.55,7020.51,7020.51,6900.21,812058200.0,8301866235.0
2009-01-21,6912.74,6970.81,7050.9,6879.16,1112617100.0,12703191520.0
2009-01-22,6994.84,7050.88,7055.89,6928.9,909850200.0,10487001324.0
2009-01-23,7026.58,7015.24,7094.57,6984.82,787657400.0,8837075135.0
2009-02-02,7073.87,7087.61,7099.25,6995.84,719452300.0,8204507072.0
2009-02-03,7089.95,7266.41,7266.41,7046.62,1364973100.0,14287534857.0
2009-02-04,7300.19,7477.63,7477.63,7288.4,1504377600.0,16185297006.0
2009-02-05,7468.67,7413.42,7640.93,7348.38,1804968200.0,19293236685.0
2009-02-06,7440.27,7771.9,7772.39,7440.27,1675117500.0,18589985873.0
2009-02-09,7891.49,8087.69,8129.19,7861.85,1984436600.0,23152726354.0
2009-02-10,8066.67,8265.56,8266.25,7942.35,1828932600.0,21261375308.0
2009-02-11,8119.76,8289.21,8506.67,8066.52,2328534400.0,28637675841.0
2009-02-12,8295.42,8318.8,8354.13,8001.71,1952523300.0,23282088755.0
2009-02-13,8330.13,8628.75,8648.02,8290.43,1946727000.0,24450756918.0
2009-02-16,8707.92,8771.04,8796.81,8552.47,2192321500.0,26909012166.0
2009-02-17,8769.54,8461.16,8800.63,8461.16,2006134900.0,24391012479.0
2009-02-18,8282.9,8083.5,8441.3,8074.69,1767262100.0,21670187119.0
2009-02-19,8149.37,8213.9,8289.51,8049.92,1356380300.0,16362110444.0
2009-02-20,8235.76,8423.77,8424.68,8157.59,1285067700.0,16293793236.0
2009-02-23,8423.4,8727.7,8763.84,8372.56,1595453100.0,19612167134.0
2009-02-24,8637.88,8403.02,8820.67,8369.14,1931390100.0,23906188576.0
2009-02-25,8443.42,8241.66,8493.52,7994.59,1753168800.0,21925497024.0
2009-02-26,8207.85,7777.9,8359.56,7650.82,1401446300.0,16822430552.0
2009-02-27,7668.11,7608.22,7728.75,7453.4,1192395500.0,13265063078.0
2009-03-02,7511.66,7762.72,7806.81,7495.82,994496500.0,11554788331.0
2009-03-03,7568.4,7695.62,7814.81,7524.13,1071890800.0,12577133712.0
2009-03-04,7742.67,8227.69,8253.78,7742.67,1548412900.0,18965287624.0
2009-03-05,8341.53,8242.28,8412.07,8110.02,1617263000.0,20508157432.0
2009-03-06,8094.08,8249.89,8327.95,8062.91,1243220400.0,15189594088.0
2009-03-09,8310.12,7946.8,8426.99,7907.3,1173323200.0,14341186917.0
2009-03-10,7829.97,8045.66,8045.66,7786.86,809421000.0,9701380111.0
2009-03-11,8225.33,7941.51,8245.61,7908.25,985229200.0,11715197770.0
2009-03-12,7900.87,7933.51,7964.74,7696.16,815443300.0,9766552099.0
2009-03-13,7963.76,7875.74,8051.47,7851.91,734830900.0,9049803663.0
2009-03-16,7847.34,8022.69,8033.09,7795.05,701166500.0,8247177782.0
2009-03-17,8035.85,8389.87,8427.89,8029.53,1500223100.0,18254162482.0
2009-03-18,8438.48,8465.96,8627.0,8415.71,1646422800.0,20684248678.0
2009-03-19,8483.08,8622.47,8665.15,8460.96,1389886100.0,17955802326.0
2009-03-20,8657.44,8647.51,8717.64,8477.85,1752666400.0,23186631316.0
2009-03-23,8664.67,8885.75,8947.69,8623.13,1765919800.0,23089400552.0
2009-03-24,9012.24,8954.84,9071.69,8911.57,1636253800.0,22016441013.0
2009-03-25,8888.87,8756.25,9029.42,8756.25,1302773800.0,17888886793.0
2009-03-26,8740.06,8983.87,8988.33,8590.01,1277043500.0,18058898785.0
2009-03-27,9043.26,8994.15,9115.04,8934.7,1639248000.0,21308356677.0
2009-03-30,8991.87,8910.42,8998.65,8846.16,1176450300.0,15536480858.0
2009-03-31,8745.25,8981.95,8981.95,8709.32,1047192200.0,14324042062.0
2009-04-01,9032.4,9156.01,9245.66,9032.4,1641084200.0,22656545736.0
2009-04-02,9189.3,9300.92,9380.89,9183.83,1834427600.0,24812861001.0
2009-04-03,9374.85,9244.66,9436.64,9204.77,1625225200.0,22172225332.0
2009-04-07,9251.13,9232.26,9334.11,9126.92,1205506000.0,17075691274.0
2009-04-08,9196.6,8896.97,9235.89,8896.76,1235605800.0,17424228175.0
2009-04-09,8889.07,9030.31,9030.31,8816.08,977126300.0,13535151478.0
2009-04-10,9094.58,9345.44,9345.44,9080.12,1156926300.0,18108204256.0
2009-04-13,9449.51,9539.8,9577.03,9441.16,1895620700.0,26084243110.0
2009-04-14,9519.42,9678.18,9701.75,9460.05,1621419600.0,22701699343.0
2009-04-15,9629.22,9724.58,9734.06,9500.26,1789596700.0,23975749753.0
2009-04-16,9751.77,9711.36,9776.68,9563.08,1963242300.0,23894375497.0
2009-04-17,9679.97,9580.06,9732.1,9487.86,1541512300.0,21015807360.0
2009-04-20,9559.61,9793.64,9793.64,9547.59,1394716100.0,18738766484.0
2009-04-21,9665.91,9640.9,9760.73,9499.49,1497940300.0,20922051916.0
2009-04-22,9689.16,9249.08,9762.83,9175.55,1642043300.0,22260019891.0
2009-04-23,9178.21,9360.84,9409.14,9132.4,1099220400.0,15288354478.0
2009-04-24,9398.49,9315.2,9442.42,9313.23,884207900.0,13305297493.0
2009-04-27,9291.22,9082.22,9332.0,9032.49,788717400.0,11043610187.0
2009-04-28,9011.42,9104.3,9169.39,8985.6,814543800.0,11097503880.0
2009-04-29,9097.72,9383.21,9425.79,9079.08,982623100.0,14024399167.0
2009-04-30,9464.03,9502.52,9566.75,9422.7,1151795300.0,15718092857.0
2009-05-04,9567.63,9899.67,9899.67,9562.95,1452954900.0,19936332041.0
2009-05-05,9958.54,9947.81,10072.48,9910.69,1342845800.0,18724667061.0
2009-05-06,9942.36,10149.07,10183.76,9911.82,1453473900.0,21154384451.0
2009-05-07,10229.04,10108.94,10318.66,9973.55,1627654100.0,25097428919.0
2009-05-08,10014.25,10183.06,10252.22,9907.18,1505866500.0,22267145391.0
2009-05-11,10248.52,9868.79,10347.74,9865.22,1676201600.0,24033566411.0
2009-05-12,9774.8,10179.15,10179.15,9764.84,1256874200.0,17345293799.0
2009-05-13,10206.79,10294.37,10331.5,10172.62,1530067100.0,21980778719.0
2009-05-14,10179.51,10252.15,10283.83,10087.73,1111633900.0,16623946688.0
2009-05-15,10276.55,10273.23,10357.0,10164.92,861566500.0,13050790101.0
2009-05-18,10211.02,10314.04,10339.02,10023.65,1010915900.0,14551623448.0
2009-05-19,10413.28,10424.36,10465.75,10359.63,1401080700.0,21096238411.0
2009-05-20,10453.4,10369.14,10497.17,10369.14,1187404100.0,18930146922.0
2009-05-21,10302.03,10108.86,10342.77,10048.35,1040847000.0,16437712727.0
2009-05-22,10049.3,10072.63,10158.52,9976.92,852823700.0,12598994082.0
2009-05-25,9861.36,10182.16,10215.14,9824.62,1186354400.0,19487742879.0
2009-05-26,10176.64,10022.3,10207.89,10006.48,1002636700.0,16210336584.0
2009-05-27,10097.47,10127.92,10165.43,10002.75,852339200.0,12827965009.0
2009-06-01,10267.74,10421.34,10458.78,10267.74,1248878000.0,20036332363.0
2009-06-02,10508.58,10484.33,10566.11,10439.56,1270098000.0,20474711533.0
2009-06-03,10473.11,10712.31,10712.31,10459.02,1434783100.0,21809236889.0
2009-06-04,10651.16,10733.72,10800.24,10567.43,1572679500.0,23106418770.0
2009-06-05,10763.51,10667.11,10817.04,10655.35,1497730800.0,23927621927.0
2009-06-08,10651.18,10611.75,10736.39,10524.45,1142648500.0,17549868668.0
2009-06-09,10648.06,10740.09,10740.09,10497.37,1201070600.0,19421337595.0
2009-06-10,10819.32,10820.74,10882.5,10754.03,1143247000.0,18011889204.0
2009-06-11,10803.54,10699.91,10858.7,10658.97,979268100.0,15694164000.0
2009-06-12,10676.69,10524.13,10768.75,10440.11,915047900.0,14022948759.0
2009-06-15,10578.64,10768.96,10768.96,10522.77,1033142000.0,17629246562.0
2009-06-16,10655.99,10797.2,10851.7,10614.03,1113419500.0,18510827279.0
2009-06-17,10782.65,11040.49,11077.42,10688.06,1325094300.0,20532842798.0
2009-06-18,11046.56,11151.63,11198.37,11046.56,1307869000.0,21956353455.0
2009-06-19,11166.64,11242.29,11270.62,11099.66,1277105900.0,20951231509.0
2009-06-22,11315.92,11190.71,11354.73,11148.23,1380264500.0,21521722519.0
2009-06-23,11019.7,11125.66,11286.63,10941.32,1354326900.0,20302109199.0
2009-06-24,11120.84,11381.64,11381.64,11105.31,1441795300.0,23131583348.0
2009-06-25,11410.57,11385.88,11490.77,11332.73,1072391500.0,18103130892.0
2009-06-26,11425.62,11413.17,11462.23,11334.62,782823400.0,14138862621.0
2009-06-29,11423.47,11605.51,11655.26,11370.1,1047143200.0,17411344086.0
2009-06-30,11644.9,11566.61,11672.7,11541.94,992848200.0,17072097521.0
2009-07-01,11529.54,11848.75,11849.28,11504.75,1148613900.0,19773955438.0
2009-07-02,11875.86,11970.72,11987.25,11858.07,1291655300.0,22022926166.0
2009-07-03,11873.18,12258.79,12261.91,11845.08,1226575100.0,21137662034.0
2009-07-06,12301.92,12489.92,12508.59,12301.92,1652482600.0,27575464662.0
2009-07-07,12450.64,12362.44,12593.81,12306.66,1540882400.0,25599411329.0
2009-07-08,12225.63,12488.58,12530.9,12096.84,1298076800.0,22089136464.0
2009-07-09,12491.51,12637.94,12652.08,12444.54,1306603000.0,22329844482.0
2009-07-10,12640.2,12706.01,12814.0,12602.93,1256469500.0,21089355185.0
2009-07-13,12705.48,12660.55,12795.38,12640.51,982549000.0,17475952608.0
2009-07-14,12752.08,12991.06,12991.06,12752.08,1318033000.0,23370796249.0
2009-07-15,13027.66,13079.26,13112.34,12977.66,1547101100.0,27836928295.0
2009-07-16,13158.97,13081.89,13222.5,13031.7,1616031300.0,30621530968.0
2009-07-17,13058.27,13131.97,13183.33,12988.73,1165371500.0,21017474064.0
2009-07-20,13150.91,13381.22,13381.22,13069.84,1550124600.0,28126992096.0
2009-07-21,13380.57,13177.21,13420.92,13158.59,1467596600.0,26909917155.0
2009-07-22,13113.66,13353.21,13378.91,13111.83,1197690500.0,22829736309.0
2009-07-23,13374.75,13521.65,13528.54,13326.75,1405526700.0,24646455181.0
2009-07-24,13602.24,13531.72,13660.28,13276.2,1367122700.0,27401566969.0
2009-07-27,13599.66,13743.4,13751.74,13465.72,1499830400.0,29296649886.0
2009-07-28,13785.85,13836.66,13881.14,13634.79,1990453800.0,40307106578.0
2009-07-29,13778.58,13070.59,13810.09,12720.05,1886587100.0,37074773585.0
2009-07-30,13141.76,13272.53,13377.01,12796.3,1823458400.0,34470177573.0
2009-07-31,13387.88,13670.72,13671.13,13250.5,1538307300.0,29364269213.0
2009-08-03,13735.08,13856.99,13867.71,13582.34,1771598300.0,35304475149.0
2009-08-04,13924.92,13904.55,13929.98,13603.0,1627627100.0,32527657682.0
2009-08-05,13895.69,13782.94,13943.44,13572.82,1485491000.0,29985006637.0
2009-08-06,13660.39,13495.97,13781.81,13268.3,1550939000.0,30013754187.0
2009-08-07,13459.42,12975.26,13569.64,12943.84,1270724500.0,24558426986.0
2009-08-10,13109.32,12973.65,13243.82,12745.9,1077374700.0,21440106975.0
2009-08-11,13033.09,13137.11,13198.83,12943.92,978776400.0,18137364909.0
2009-08-12,13091.96,12591.66,13101.99,12547.42,1240543000.0,22674284434.0
2009-08-13,12622.75,12802.91,12834.08,12383.19,1110655200.0,20737648209.0
2009-08-14,12807.44,12499.75,12924.2,12472.94,1156079500.0,22460038279.0
2009-08-17,12269.49,11668.8,12378.0,11652.92,1254685100.0,20855315066.0
2009-08-18,11527.7,11773.3,11833.03,11466.99,951011300.0,16454775648.0
2009-08-19,11818.0,11209.92,11833.97,11072.61,1106010100.0,18602237437.0
2009-08-20,11193.03,11648.35,11667.98,11193.03,1167097800.0,19954152787.0
2009-08-21,11602.31,11892.02,11981.48,11542.4,1121272400.0,19322626170.0
2009-08-24,11962.76,12075.8,12126.86,11847.52,1058446500.0,18869481270.0
2009-08-25,12009.56,11688.17,12009.56,11332.39,1255800300.0,21489001427.0
2009-08-26,11598.58,11995.02,12101.82,11546.25,1112909500.0,19817100727.0
2009-08-27,11868.66,11897.74,12148.18,11760.96,1078370400.0,18520145913.0
2009-08-28,11880.03,11450.08,11963.52,11418.05,1110473200.0,19155112129.0
2009-08-31,11297.46,10585.08,11297.46,10561.74,1275264800.0,20068301164.0
2009-09-01,10463.04,10614.28,10855.28,10387.42,1167493100.0,17859811874.0
2009-09-02,10503.39,10738.95,10811.58,10462.11,939609300.0,14605345291.0
2009-09-03,10772.76,11404.05,11445.36,10765.01,1365647100.0,21394503295.0
2009-09-04,11416.66,11519.68,11609.48,11369.85,1220698000.0,20432411011.0
2009-09-07,11591.64,11635.45,11837.51,11526.96,1175513800.0,20260712563.0
2009-09-08,11548.25,11923.34,11923.34,11425.5,1237781300.0,21285410705.0
2009-09-09,12000.1,12047.22,12097.61,11828.88,1468921000.0,27502423842.0
2009-09-10,11954.83,11887.02,12066.16,11849.48,1018339500.0,18270994564.0
2009-09-11,11839.08,12096.26,12173.2,11834.47,995549800.0,17923228089.0
2009-09-14,12145.84,12385.06,12387.56,12128.46,1085480400.0,19570038976.0
2009-09-15,12406.06,12438.24,12530.07,12306.25,948924700.0,17997900922.0
2009-09-16,12396.5,12294.88,12456.96,12097.6,1155530800.0,20499181184.0
2009-09-17,12334.96,12473.61,12521.88,12334.96,1019017500.0,19038238955.0
2009-09-18,12486.78,11977.4,12488.6,11854.24,1163503100.0,20896203319.0
2009-09-21,11836.76,12045.2,12048.64,11553.9,933454800.0,16502073006.0
2009-09-22,11985.82,11813.46,12230.23,11806.76,1096647800.0,19137873773.0
2009-09-23,11787.87,11462.33,11898.47,11383.94,932924200.0,16353262812.0
2009-09-24,11386.44,11475.88,11654.09,11109.08,867359900.0,14237225638.0
2009-09-25,11382.15,11384.16,11539.04,11261.7,565991900.0,8979208070.0
2009-09-28,11418.44,11086.71,11527.63,11042.07,553426000.0,8784787474.0
2009-09-29,11092.52,11069.28,11157.55,10883.13,624598800.0,9602514910.0
2009-09-30,11121.23,11206.85,11300.03,11121.23,641320100.0,10542694630.0
2009-10-09,11499.7,11801.23,11809.1,11452.33,795225800.0,13820137729.0
2009-10-12,11829.3,11743.89,11895.91,11728.06,727752000.0,12848597951.0
2009-10-13,11710.14,11874.9,11874.9,11679.2,604245200.0,10344822100.0
2009-10-14,11914.77,11975.91,12171.47,11895.3,1100271100.0,19258600661.0
2009-10-15,12092.42,12010.18,12214.07,11985.26,891835100.0,16049541639.0
2009-10-16,12046.8,12033.37,12126.92,11828.06,708114100.0,13074786721.0
2009-10-19,12047.74,12483.26,12485.21,12035.19,1255392300.0,23059733177.0
2009-10-20,12566.47,12676.24,12684.97,12531.67,1211551600.0,23881051369.0
2009-10-21,12683.73,12692.72,12875.1,12631.48,1170277300.0,21593791095.0
2009-10-22,12670.97,12624.68,12751.3,12586.67,876546700.0,16469036656.0
2009-10-23,12656.32,12843.21,12941.38,12656.32,1112089600.0,20886298105.0
2009-10-26,12869.34,12815.26,12916.81,12708.88,908734600.0,17540448129.0
2009-10-27,12704.24,12412.45,12739.08,12412.45,1003168100.0,18480615118.0
2009-10-28,12349.47,12505.33,12527.61,12234.35,830386500.0,14818685140.0
2009-10-29,12270.61,12193.16,12373.71,12174.12,838308800.0,15069784531.0
2009-10-30,12427.1,12297.16,12491.72,12294.19,793376200.0,14378625211.0
2009-11-02,12016.61,12715.65,12718.97,11957.58,954418600.0,17163513850.0
2009-11-03,12754.7,12859.86,12903.68,12727.48,1037065200.0,18702045147.0
2009-11-04,12886.09,12931.21,13024.16,12772.8,1103630800.0,20574709788.0
2009-11-05,12945.93,12901.7,12982.79,12777.29,828132000.0,15283513422.0
2009-11-06,12994.51,12987.2,13082.17,12940.99,1104316400.0,19607160761.0
2009-11-09,12996.29,13036.3,13064.38,12890.01,978529500.0,16480122335.0
2009-11-10,13133.66,13151.49,13224.78,13115.04,1162735500.0,20272907932.0
2009-11-11,13138.89,13106.92,13200.08,13003.79,879534000.0,15890841275.0
2009-11-12,13135.91,13180.28,13299.29,13129.74,1051017500.0,18634178058.0
2009-11-13,13140.47,13264.4,13264.4,12989.75,1064559100.0,19611601343.0
2009-11-16,13354.17,13699.68,13699.68,13354.17,1483986300.0,28484692352.0
2009-11-17,13766.57,13671.08,13771.63,13627.21,1139872000.0,22295977705.0
2009-11-18,13681.9,13642.35,13750.18,13571.74,911970600.0,18287668400.0
2009-11-19,13669.53,13699.55,13733.45,13549.32,1017674200.0,19107310977.0
2009-11-20,13645.7,13695.15,13781.01,13540.1,1066876300.0,19177130948.0
2009-11-23,13710.26,13854.66,13854.66,13667.48,1106227200.0,21022232335.0
